,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille
Paris,0.0,774987.0,466033.0,678897.0,932067.0,384535.0,490230.0,747998.0,590485.0,239818.0
Marseille,776442.0,0.0,314191.0,403677.0,204591.0,986092.0,799554.0,168944.0,645721.0,1002452.0
Lyon,464588.0,313764.0,0.0,537748.0,470845.0,684551.0,488664.0,303015.0,555450.0,690597.0
Toulouse,679215.0,403226.0,537330.0,0.0,560306.0,586014.0,970963.0,242302.0,245643.0,909552.0
Nice,933491.0,206569.0,471240.0,560726.0,0.0,1143141.0,784276.0,325993.0,802770.0,1159501.0
Nantes,384569.0,985758.0,686269.0,584967.0,1142839.0,0.0,865271.0,824835.0,353412.0,614906.0
Strasbourg,491678.0,798460.0,487680.0,968788.0,784927.0,865809.0,0.0,787711.0,968342.0,525123.0
Montpellier,747619.0,170462.0,304567.0,242629.0,327543.0,825044.0,789929.0,0.0,484673.0,992827.0
Bordeaux,584305.0,645467.0,557097.0,244676.0,802547.0,346917.0,968915.0,484543.0,0.0,814642.0
Lille,228177.0,999908.0,690955.0,897141.0,1156989.0,602779.0,524637.0,989159.0,808729.0,0.0
